ryan (down) v alex (top),banjo	bayonetta,bowser,bowser jr,captain falcon,chrom,cloud,corrin,daisy,dark pit,dark samus,diddy kong,donkey kong,doctor mario,duck hunt	falco,fox,ganondorf,greninja,hero,ice climbers,ike,incineroar,inkling,isabelle,jigglypuff,joker,ken,king dedede,king k rool,kirby,link,little mac,lucario,lucas,lucina,luigi,mario,marth,mega man,meta knight,mewtwo,mr g&w,ness,olimar,pac man,palutena,peach,pichu,pikachu,pit,piranha plant,pkmn trainer,richter,ridley,rob,robin,rosalina,roy,ryu,samus,sheik,shulk,simon,snake,sonic,terry,toon link,villager,wario,wii fit trainer,wolf,yoshi,young link,zelda,zero suit samus,TOTAL	Win percent (Ryan)
banjo
bayonetta
bowser
bowser jr
captain falcon
chrom
cloud
corrin
daisy
dark pit
dark samus
diddy kong
donkey kong
doctor mario
duck hunt
falco
fox
ganondorf
greninja
hero
ice climbers
ike
incineroar
inkling
isabelle
jigglypuff
joker
ken
king dedede
king k rool
kirby
link
little mac
lucario
lucas
lucina
luigi
mario
marth
mega man
meta knight
mewtwo
mr g&w
ness
olimar
pac man
palutena
peach
pichu
pikachu
pit
piranha plant
pkmn trainer
richter
ridley
rob
robin
roy
ryu
samus
sheik
shulk
simon
snake
sonic
terry
toon link
villager
wario
wii fit trainer
wolf
yoshi
young link
zelda
zero suit samus
TOTAL
Win percent (Alex)
